Frequency (Hz),Flux Density (Jy),Uncertainty,Survey quickname,Refcode
76000000.0,1.719093,0.066341,GLEAM,2017MNRAS.464.1146H
84000000.0,1.49995,0.050395,GLEAM,2017MNRAS.464.1146H
92000000.0,1.64474,0.047204,GLEAM,2017MNRAS.464.1146H
99000000.0,1.6132,0.040204,GLEAM,2017MNRAS.464.1146H
107000000.0,1.595956,0.034869,GLEAM,2017MNRAS.464.1146H
115000000.0,1.561566,0.027278,GLEAM,2017MNRAS.464.1146H
122000000.0,1.575144,0.025142,GLEAM,2017MNRAS.464.1146H
130000000.0,1.614214,0.02591,GLEAM,2017MNRAS.464.1146H
143000000.0,1.470499,0.02368,GLEAM,2017MNRAS.464.1146H
150000000.0,1.7933,0.17959999999999998,TGSS,2017A&A...598A..78I
151000000.0,1.476065,0.020631,GLEAM,2017MNRAS.464.1146H
158000000.0,1.403463,0.020487,GLEAM,2017MNRAS.464.1146H
166000000.0,1.41876,0.018875,GLEAM,2017MNRAS.464.1146H
174000000.0,1.363459,0.017167,GLEAM,2017MNRAS.464.1146H
181000000.0,1.32592,0.017643,GLEAM,2017MNRAS.464.1146H
189000000.0,1.312714,0.014557,GLEAM,2017MNRAS.464.1146H
197000000.0,1.287988,0.013399,GLEAM,2017MNRAS.464.1146H
204000000.0,1.244989,0.013409,GLEAM,2017MNRAS.464.1146H
212000000.0,1.227888,0.01499,GLEAM,2017MNRAS.464.1146H
220000000.0,1.223582,0.013588,GLEAM,2017MNRAS.464.1146H
227000000.0,1.187025,0.013403,GLEAM,2017MNRAS.464.1146H
365000000.0,0.9789999723434448,0.035999998450279236,TXS,1996AJ....111.1945D
408000000.0,1.0399999618530273,0.07000000029802322,MRC,1981MNRAS.194..693L
887500000.0,0.554649,0.001322,RACS,2021PASA...38...58H
1400000000.0,0.3727,0.011199999809265136,NVSS,1998AJ....115.1693C
2307000000.0,0.20851999521255493,0.014039999805390835,SPASS,2017PASA...34...13M
4850000000.0,0.125,0.012,PMNT,1994ApJS...91..111W
